,company,href,id,name,location.city,location.country,location.latitude,location.longitude,source,gbfs_href,license.name,license.url,ebikes,manhattan_from_coit
122,"['Motivate International, Inc.', 'PBSC Urban Solutions']",/v2/networks/blue-bikes,blue-bikes,Blue Bikes,"Boston, MA",US,42.3584308,-71.0597732,,https://gbfs.bluebikes.com/gbfs/gbfs.json,,,True,55.90177160000001
124,"['City of Philadelphia', 'Bicycle Transit Systems', 'BCycle, LLC']",/v2/networks/indego,indego,Indego,"Philadelphia, PA",US,39.95378,-75.16374,,https://gbfs.bcycle.com/bcycle_indego/gbfs.json,,,,49.393154
125,"['BCycle, LLC']",/v2/networks/indiana-pacers-bikeshare,indiana-pacers-bikeshare,Indiana Pacers Bikeshare,"Indianapolis, IN",US,39.76593,-86.16216,,https://gbfs.bcycle.com/bcycle_pacersbikeshare/gbfs.json,,,,38.206884
126,"['CycleHop, LLC', 'Social Bicycles Inc.']",/v2/networks/juice-bike-share,juice-bike-share,Juice,"Orlando, FL",US,28.536663311743688,-81.37922197580338,,https://juicebikeshare.com/opendata/gbfs.json,,,,50.292722712452935
128,"['BCycle, LLC']",/v2/networks/kansascity,kansascity,B-cycle,"Kansas City, MO",US,39.0999,-94.5857,,https://gbfs.bcycle.com/bcycle_kc/gbfs.json,,,,29.117314
129,"['BCycle, LLC']",/v2/networks/linkdayton,linkdayton,Link,"Dayton, OH",US,39.75626,-84.21119,,https://gbfs.bcycle.com/bcycle_linkdayton/gbfs.json,,,,40.148184
130,"['BCycle, LLC']",/v2/networks/madison,madison,B-cycle,"Madison, WI",US,43.07571,-89.38527,,https://gbfs.bcycle.com/bcycle_madison/gbfs.json,,,,38.293554
131,"['Los Angeles County Metropolitan Transportation Authority (Metro)', 'Bicycle Transit Systems', 'BCycle, LLC']",/v2/networks/metro-bike-share,metro-bike-share,Metro Bike Share,"Los Angeles, CA",US,34.04855,-118.25905,,https://gbfs.bcycle.com/bcycle_lametro/gbfs.json,,,,7.901007999999997
132,"['Mountain Rides', 'Social Bicycles Inc.']",/v2/networks/mountain-rides-bike-share,mountain-rides-bike-share,Mountain Rides Bike Share,"Ketchum / Sun Valley, ID",US,43.5194695168239,-114.317415758737,,http://mrbikeshare.org/opendata/gbfs.json,,,,13.805167758086903
133,"['Nice Ride Minnesota', 'Lyft']",/v2/networks/nice-ride,nice-ride,Nice Ride,"Minneapolis, MN",US,44.983334,-93.26666999999999,,https://gbfs.niceridemn.com/gbfs/gbfs.json,,,,36.319778000000014
135,"['BCycle, LLC']",/v2/networks/sanantonio,sanantonio,SWell Cycle,"San Antonio, TX",US,29.43701,-98.48236,,https://gbfs.bcycle.com/bcycle_sanantonio/gbfs.json,,,,32.289238
136,['Social Bicycles Inc.'],/v2/networks/share-a-bull-bikes,share-a-bull-bikes,Share-a-Bull Bikes,"University of South Florida, FL",US,28.060548696070995,-82.4076198041439,,https://usf.socialbicycles.com/opendata/gbfs.json,,,,49.7404394997851
138,['Social Bicycles Inc.'],/v2/networks/sobi-long-beach,sobi-long-beach,SoBi,"Long Beach, NY",US,40.5833058203002,-73.6482682794673,,http://sobilongbeach.com/opendata/gbfs.json,,,,51.5381515408329
139,"['BCycle, LLC']",/v2/networks/spartanburg,spartanburg,Spartanburg BCycle,"Spartanburg, SC",US,34.94867,-81.93345,,https://gbfs.bcycle.com/bcycle_spartanburg/gbfs.json,,,,43.326488000000005
140,"['Topeka Metropolitan Transit Authority', 'Social Bicycles Inc.']",/v2/networks/topeka-metro-bikes,topeka-metro-bikes,Topeka Metro Bikes,"Topeka, KS",US,39.0337646098385,-95.7027213202284,,http://topekametrobikes.org/opendata/gbfs.json,,,,27.9341572896101
142,['Social Bicycles Inc.'],/v2/networks/ubike,ubike,UBike,"University of Virginia, VA",US,38.0357625021372,-78.5072994363201,,http://ubike.virginia.edu/opendata/gbfs.json,,,,44.13157706581711
143,"['CycleHop, LLC', 'Social Bicycles Inc']",/v2/networks/relay-atlanta,relay-atlanta,Relay Bike Share,"Atlanta, GA",US,33.7627941119619,-84.38727110624313,,https://relaybikeshare.socialbicycles.com/opendata/gbfs.json,,,,42.05854278179496
264,['DecoBike LLC'],/v2/networks/decobike-miami-beach,decobike-miami-beach,Citi Bike Miami,"Miami Beach, FL",US,25.790654,-80.1300455,,,,,,54.2879085
265,['DecoBike LLC'],/v2/networks/decobike-san-diego,decobike-san-diego,Decobike San Diego,"San Diego, CA",US,32.715738,-117.1610838,,,,,,10.331786199999996
267,"['BCycle, LLC']",/v2/networks/desmoines,desmoines,Des Moines B-cycle,"Des Moines, IA",US,41.6005448,-93.6091064,,https://gbfs.bcycle.com/bcycle_desmoines/gbfs.json,,,,32.594552400000005
269,"['BCycle, LLC']",/v2/networks/greenville,greenville,Greenville B-cycle,"Greenville, SC",US,34.85261759999999,-82.3940104,,https://gbfs.bcycle.com/bcycle_greenville/gbfs.json,,,,42.96198000000001
371,['Nextbike GmbH'],/v2/networks/healthy-ride-pittsburgh-pittsburgh,healthy-ride-pittsburgh-pittsburgh,Healthy Ride,Pittsburgh,US,40.4459,-79.9945,,,,,,45.054514000000005
471,['Motivate LLC'],/v2/networks/bay-wheels,bay-wheels,Bay Wheels,"San Francisco Bay Area, CA",US,37.7141454,-122.25,,https://gbfs.baywheels.com/gbfs/gbfs.json,,,,0.24446259999999853
495,"['Bcycle, LLC', 'RTC Southern Nevada, Inc']",/v2/networks/rtc-bike-share,rtc-bike-share,RTC Bike Share,"Las Vegas, NV",US,36.1438,-115.15682,,https://gbfs.bcycle.com/bcycle_rtcbikeshare/gbfs.json,,,,8.907988000000003
496,"['Bcycle, LLC', 'Embark, Inc']",/v2/networks/spokies,spokies,Spokies BCycle,"Oklahoma, OK",US,35.46436,-97.50888,,https://gbfs.bcycle.com/bcycle_spokies/gbfs.json,,,,27.235367999999994
